Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,0), ( 1892,0)] vs [mpw/(  774, 0), ( 1892,0)] ---> PASS, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,0), ( 1892,0)] vs [mpw/(  774, 0), ( 1892,0)] ---> PASS, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,0), ( 1892,0)] vs [mpw/(  774, 0), ( 1892,0)] ---> PASS, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,0), ( 1892,0)] vs [mpw/(  774, 0), ( 1892,0)] ---> PASS, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,0), ( 1892,0)] vs [mpw/(  774, 0), ( 1892,0)] ---> PASS, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  774,1), ( 1892,1)] vs [mpw/(  774, 1), ( 1892,1)] ---> PASS, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  578,0), ( 1963,0)] vs [mpw/(  578, 0), ( 2027,0)] ---> FAIL, ErrNum: 49
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  578,0), ( 1963,0)] vs [mpw/(  578, 0), ( 2027,0)] ---> FAIL, ErrNum: 50
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  578,0), ( 1963,0)] vs [mpw/(  578, 0), ( 2027,0)] ---> FAIL, ErrNum: 51
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  578,0), ( 1963,0)] vs [mpw/(  578, 0), ( 2027,0)] ---> FAIL, ErrNum: 52
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  578,0), ( 1963,0)] vs [mpw/(  578, 0), ( 2027,0)] ---> FAIL, ErrNum: 53
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(  578,0), ( 1963,0)] vs [mpw/(  578, 0), ( 2027,0)] ---> FAIL, ErrNum: 54
